id,artist,title,play_count
0,Jack Ingram,Still Got Scars,
1,Eagle-Eye Cherry,Permanent Tears,78.0
2,Her Space Holiday,Manic Expressive (Exit),25.0
3,Seven Mary Three,Southwestern State (LP Version),
4,Beastie Boys,5-Piece Chicken Dinner,22.0
5,10cc,The Things We Do For Love,1987.0
6,Capleton,Right Away,
7,Alice DJ,Got To Get Away,32.0
8,The Color Red,The Other One,5.0
9,Fear Factory,Martyr (Album Version),
10,Trick Pony,Whiskey River [Featuring Willie Nelson] (Album Version),
11,Bill Nelson,Flesh,4.0
12,Graham Nash,Keep Away From Me (LP Version),28.0
13,SUCH A SURGE,Was Besonderes,
14,Preston School Of Industry,Falling Away,13.0
15,Cocteau Twins,Suckling The Mender,103.0
16,Tori Amos,Raspberry Swirl,
17,Sylver,Drowning In My Tears,32.0
18,Francoiz Breut,Il N'y A Pas D'hommes Dans Les Coulisses,
19,Kristin Hersh,Hips And Makers,48.0
20,Johnnie Taylor,Steal Away,
21,Les Wampas,Les Baleines,
22,Franz Ferdinand,Tell Her Tonight,1049.0
23,Skinlab,Looks Can Be Deceiving,36.0
24,Inspiral Carpets,Irresistible Force,4.0
25,Modern Skirts,Radio Breaks,52.0
26,Van Dyke Parks,Look Away (Album Version),
27,Falling Up,Cascades,378.0
28,Terminal,Miss Louisiana,5.0
29,Lucinda Williams,Pyramid Of Tears,76.0
30,Fatboy Slim,Praise You,12186.0
31,The Cheetah Girls,Fly Away,133.0
32,Peter Bjorn And John,Living Thing,29.0
33,Bebel Gilberto,Far From The Sea,3.0
34,ISRAEL & NEW BREED,You've Been A Friend,261.0
35,Obus,F.M.,12.0
36,Nicolas Bacchus,Dans les saunas,
37,5 Bugs,I Know,2.0
38,Frou Frou,Maddening Shroud,944.0
39,Mitchel Musso,(You Didn't Have To) Walk Away,82.0
40,Les Nubians,Desolée,
41,Sarah Vaughan,The Can't Take That Away From Me,
42,Field Music,Got To Write A Letter,46.0
43,Tom Petty And The Heartbreakers,Listen To Her Heart (Album Version),4.0
44,Alex Lloyd,Far Away,
45,Kix,Cold Shower  (LP Version),99.0
46,The Tragically Hip,Speed River,179.0
47,Randy Newman/Lyle Lovett,You've Got A Friend In Me,1251.0
48,Incognito,Don't Turn My Love Away,265.0
49,Feeder,Come Back Around,
