id,artist,title,play_count
0,Dwight Yoakam,You're The One,726885
1,Björk,Undo,648239
2,Kings Of Leon,Revelry,527893
3,Harmonia,Sehr kosmisch,425463
4,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),389880
5,Florence + The Machine,Dog Days Are Over (Radio Edit),356533
6,OneRepublic,Secrets,292642
7,Five Iron Frenzy,Canada,274627
8,Tub Ring,Invalid,268353
9,Sam Cooke,Ain't Misbehavin,244730
10,Alliance Ethnik,Représente,241669
11,Lonnie Gordon,Catch You Baby (Steve Pitron & Max Sanna Radio Edit),236494
12,Alliance Ethnik,Sincerité Et Jalousie,225652
13,Train,Hey_ Soul Sister,209212
14,Charttraxx Karaoke,Fireflies,197181
15,Angels and Airwaves,The Gift,192884
16,Cartola,Tive Sim,185653
17,Train,Marry Me,174080
18,Ron Carter,I CAN'T GET STARTED,158636
19,Lil Wayne / Eminem,Drop The World,155717
20,Usher featuring will.i.am,OMG,155529
21,Bill Withers,Make Love To Your Mind,146978
22,Kings Of Leon,Use Somebody,145725
23,Pavement,Mercy:The Laundromat,130116
24,Randy Crawford,Almaz,129868
25,The Crests,16 Candles,129069
26,Coldplay,The Scientist,128837
27,Jason Mraz & Colbie Caillat,Lucky (Album Version),127044
28,Kid Cudi / MGMT / Ratatat,Pursuit Of Happiness (nightmare),124162
29,Travie McCoy,Billionaire [feat. Bruno Mars]  (Explicit Album Version),122318
30,Die Mooskirchner,Frisch und g'sund,116183
31,Sheena Easton,Strut (1993 Digital Remaster),115134
32,Coldplay,Clocks,114362
33,J. Karjalainen & Mustat Lasit,Sinisten tähtien alla,113560
34,Frumpies,Fuck Kitty,112421
35,Lady GaGa,Alejandro,111615
36,Future Rock,Gears,111596
37,Justin Bieber,Somebody To Love,110757
38,La Roux,Bulletproof,110240
39,Coldplay,Yellow,109566
40,Three Drives,Greece 2000,108927
41,Lady GaGa / Colby O'Donis,Just Dance,105032
42,Paramore,The Only Exception (Album Version),103653
43,Foolish Things,Who Can Compare,102247
44,Todd Barry,Sugar Ray (LP Version),101969
45,Dominique A,Le Courage Des Oiseaux,100461
46,Beastie Boys,Unite (2009 Digital Remaster),99137
47,Radiohead,Creep (Explicit),98854
48,Metallica,Master Of Puppets,98667
49,Mike And The Mechanics,A Beggar On A Beach Of Gold,97488
50,Edward Sharpe & The Magnetic Zeros,Home,97215
51,Black Eyed Peas,I Gotta Feeling,96809
